

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(10-MAR-2025 11:28:18)
 , TRILEGL , R , 03/02/2023 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
190 , AGPCGIN , R , 09/02/2023 00:00:00, 	(10-MAR-2025 11:28:19)
176 , NESTLIN , R , 10/02/2023 00:00:00, 	(10-MAR-2025 11:28:19)
110 , SITMEFZ , R , 08/03/2023 00:00:00, 	(10-MAR-2025 11:28:19)
188 , VISHPRI , R , 14/03/2023 00:00:00, 	(10-MAR-2025 11:28:19)
 , NEETMAN , R , 16/03/2023 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
 , SOMANY , R , 16/03/2023 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
202 , BHOGATD , R , 03/04/2023 00:00:00, 	(10-MAR-2025 11:28:19)
186 , VEDALTD , R , 13/04/2023 00:00:00, 	(10-MAR-2025 11:28:19)
277 , VIGASLD , R , 18/04/2023 00:00:00, 	(10-MAR-2025 11:28:19)
167 , GOLDPFG , R , 20/04/2023 00:00:00, 	(10-MAR-2025 11:28:19)
165 , EICLLTD , R , 27/04/2023 00:00:00, 	(10-MAR-2025 11:28:19)
 , CAIRENH  , R , 17/05/2023 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
168 , GSIGLIM , R , 18/05/2023 00:00:00, 	(10-MAR-2025 11:28:19)
168 , GSIGLIM , R , 18/05/2023 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
120 , KSHITIJ , R , 26/05/2023 00:00:00, 	(10-MAR-2025 11:28:19)
122 , GAILGAS , R , 01/06/2023 00:00:00, 	(10-MAR-2025 11:28:19)
182 , SUDSOME , R , 12/06/2023 00:00:00, 	(10-MAR-2025 11:28:19)
174 , KUTCHCL , R , 20/06/2023 00:00:00, 	(10-MAR-2025 11:28:19)
251 , PIINDUS  , R , 30/06/2023 00:00:00, 	(10-MAR-2025 11:28:19)
278 , SEMTEXP , R , 01/04/2023 00:00:00, 	(10-MAR-2025 11:28:19)
108 , GRINDUS , R , 05/07/2023 00:00:00, 	(10-MAR-2025 11:28:19)
161 , ATCATMO , R , 16/08/2023 00:00:00, 	(10-MAR-2025 11:28:19)
 , POSCO MAHA , R , 29/08/2023 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
181 , SANENER , R , 21/09/2023 00:00:00, 	(10-MAR-2025 11:28:19)
183 , SUMGLAS , R , 27/09/2023 00:00:00, 	(10-MAR-2025 11:28:19)
184 , SVTPLIN , R , 28/09/2023 00:00:00, 	(10-MAR-2025 11:28:19)
112 , SPSSETL1 , R , 02/10/2023 00:00:00, 	(10-MAR-2025 11:28:19)
170 , INPOWGL , R , 04/10/2023 00:00:00, 	(10-MAR-2025 11:28:19)
179 , PRPWCRP , R , 05/10/2023 00:00:00, 	(10-MAR-2025 11:28:19)
113 , SIETCO , R , 11/10/2023 00:00:00, 	(10-MAR-2025 11:28:19)
171 , INVPTRO , R , 24/10/2023 00:00:00, 	(10-MAR-2025 11:28:19)
172 , JINDAST , R , 15/12/2023 00:00:00, 	(10-MAR-2025 11:28:19)
123 , AVGL , R , 20/12/2023 00:00:00, 	(10-MAR-2025 11:28:19)
 , MIZGURB , R , 04/01/2024 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
121 , NGPL , R , 19/01/2024 00:00:00, 	(10-MAR-2025 11:28:19)
115 , SILS , R , 21/02/2024 00:00:00, 	(10-MAR-2025 11:28:19)
114 , STASCO , R , 14/02/2024 00:00:00, 	(10-MAR-2025 11:28:19)
119 , ROCKIND , R , 23/02/2024 00:00:00, 	(10-MAR-2025 11:28:19)
177 , NIRMARM , R , 11/03/2024 00:00:00, 	(10-MAR-2025 11:28:19)
175 , MEDCIGA , R , 03/04/2024 00:00:00, 	(10-MAR-2025 11:28:19)
118 , LANCOKO , R , 05/04/2024 00:00:00, 	(10-MAR-2025 11:28:19)
130 , CRMNDEL , R , 01/07/2024 00:00:00, 	(10-MAR-2025 11:28:19)
132 , VERBINL , R , 23/07/2024 00:00:00, 	(10-MAR-2025 11:28:19)
215 , EASTPDC , R , 06/08/2024 00:00:00, 	(10-MAR-2025 11:28:19)
205 , CELLOCP , R , 07/10/2024 00:00:00, 	(10-MAR-2025 11:28:19)
271 , TRIVRPL , R , 07/10/2024 00:00:00, 	(10-MAR-2025 11:28:19)
281 , SEIPLDY , R , 01/10/2024 00:00:00, 	(10-MAR-2025 11:28:19)
237 , LLOYMEN , R , 13/01/2025 00:00:00, 	(10-MAR-2025 11:28:19)
134 , GSINLIM , R , 13/01/2025 00:00:00, 	(10-MAR-2025 11:28:19)
 , JMB , R , 01/04/2006 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
 , BOXCO , R , 11/08/2014 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
265 , SLPL , R , 21/01/2016 00:00:00, 	(10-MAR-2025 11:28:19)
265 , SLPL , R , 21/01/2016 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
232 , JBB , R , 01/04/2007 00:00:00, 	(10-MAR-2025 11:28:19)
126 , SGSINDIA , R , 01/04/2007 00:00:00, 	(10-MAR-2025 11:28:19)
264 , SSAPL , R , 01/04/2013 00:00:00, 	(10-MAR-2025 11:28:19)

TOTAL DATA IN EXCEL : ,318,,, 	(10-MAR-2025 11:28:19)
 

TOTAL DATA INSERTED : ,256,,, 	(10-MAR-2025 11:28:19)
 

TOTAL SKIPPED DATA ,62,,, 	(10-MAR-2025 11:28:19)
 
<<END>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(10-MAR-2025 11:28:19)
 

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(10-MAR-2025 11:28:19)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
2, 1 , RIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 2 , MGL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 3 , GSPCL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 4 , Gail , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 4 , Gail , 2,R, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , BPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , EPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 217 , ESL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 5 , NTPC , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 6 , KRIBHCO , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 7 , DFPCL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 8 , AIGL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 218 , ESEZ , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , KSFL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 242 , MAHAGENCO , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 249 , NPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 9 , SIGIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 225 , VIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , VSIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 10 , GGCL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 11 , TPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 280 , WMSL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 12 , MNGL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 13 , IGL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 14 , BPCL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 14 , BPCL , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 269 , TEL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 15 , HPCL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 15 , HPCL , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 16 , JSW , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 17 , BGL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 18 , GSFC , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 228 , H-Energy , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 160 , SIMPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 19 , ATGL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 20 , AMNS , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 20 , AMNS , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , SEMTPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , SEMTPL , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 21 , SGIPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 22 , VGL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 23 , PGPGPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 24 , HCG , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 25 , GGL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 26 , CFC , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 27 , IFFCO , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 28 , HGL-RLNG , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 29 , PipeInfra , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 29 , PipeInfra , 2,R, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 30 , NFL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 31 , HSIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , VVF , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 32 , KFL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 197 , BIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 254 , RIPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 207 , CP , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , HHFG DLNG , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 187 , VIDUWIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 33 , AGP CGD , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 34 , MINDA , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 238 , LEIPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 35 , SCHOTT , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 36 , HIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 37 , HCGD-B , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 198 , BIPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 220 , EXXARO , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 257 , STVPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 233 , JGPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 279 , WALLCERA , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 193 , ASTIS , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 109 , PROTON , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 192 , ANTIQUE , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , ACER , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 38 , KAJARIA , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 222 , GASGROWS , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 39 , SISECAM , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 40 , ATPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 41 , OPAL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 234 , JKPAPER , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 263 , STL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 273 , UEPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 206 , CELLO , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 204 , CALDERYS , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 42 , RCF , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 201 , BWRL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 235 , KRYO , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 276 , VIRGO , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 196 , BLPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 223 , GIPSKARTON , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 270 , TGPL , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 116 , SELNG , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 256 , SITME , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , DT , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 268 , ThirdParty , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 152 , GUNSPL , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 43 , BP , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , AMNS-T , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 45 , GSPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 45 , GSPL , 2,R, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 46 , TGLPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 47 , TGBPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 48 , BGEPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 231 , IMCL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 49 , VVF India , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 50 , GNFC , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 140 , MEGHHQX , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 51 , ONGC , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 52 , GLIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 272 , UGEL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 255 , SGI-AP , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , IGX , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 53 , RGPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 53 , RGPL , 2,R, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 224 , GTIPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , GSPL-C , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 117 , PEPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 54 , GFCL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , DERL , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 55 , CPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 56 , IRM , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 57 , PPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 58 , YARALTD , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 59 , INPEROX , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 60 , RAFECHL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 124 , MGRPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 124 , MGRPL , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 208 , CNTENKA , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 61 , EFSPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 61 , EFSPL , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 158 , HINDURV , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 227 , HCGPUTE , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 63 , GOAGLSF , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 64 , IGSPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 64 , IGSPL , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 65 , PEFORCV , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 66 , BHEL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 210 , COMFIND , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 67 , DCMSHRI , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 81 , HOECLTD , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 81 , HOECLTD , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 144 , HINAGIL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 147 , HPOIGAS , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 86 , MANIKAR , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 166 , ESSAREX , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 92 , NEL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 104 , TASTELI , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 105 , HMEL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 211 , DIL , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 162 , BOROREN , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 151 , KINGASP , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 106 , RATNAGI , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 107 , IDOINVA , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 107 , IDOINVA , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 190 , AGPCGIN , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 176 , NESTLIN , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 110 , SITMEFZ , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 188 , VISHPRI , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , SOMANY , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 202 , BHOGATD , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 186 , VEDALTD , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 186 , VEDALTD , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 277 , VIGASLD , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 167 , GOLDPFG , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 159 , CAIRENH , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 168 , GSIGLIM , 1,R, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 122 , GAILGAS , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 174 , KUTCHCL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 278 , SEMTEXP , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 278 , SEMTEXP , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 181 , SANENER , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 181 , SANENER , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 183 , SUMGLAS , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 184 , SVTPLIN , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 112 , SPSSETL1 , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 113 , SIETCO , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 123 , AVGL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 121 , NGPL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 115 , SILS , 1,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 114 , STASCO , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 114 , STASCO , 2,T, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 119 , ROCKIND , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 118 , LANCOKO , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 130 , CRMNDEL , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 281 , SEIPLDY , 1,C, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 134 , GSINLIM , 1,R, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , JMB , 1,H, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2,  , BOXCO , 1,H, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 265 , SLPL , 1,H, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 265 , SLPL , 1,H, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 232 , JBB , 1,V, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 126 , SGSINDIA , 1,S, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 232 , JBB , 1,S, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 264 , SSAPL , 1,S, 	(10-MAR-2025 11:28:19)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,195,,,, 	(10-MAR-2025 11:28:19)
 

TOTAL DATA INSERTED : ,0,,,, 	(10-MAR-2025 11:28:19)
 

TOTAL SKIPPED DATA ,195,,,, 	(10-MAR-2025 11:28:19)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(10-MAR-2025 11:28:19)
 

<<START>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,,, 	(10-MAR-2025 11:28:19)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP,
2, 1 , RIL , C , 1 , 14/09/2008 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 1 , 16/02/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 1 , 01/10/2024 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 2 , 14/09/2008 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 2 , 16/02/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 3 , 14/09/2008 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 3 , 16/02/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 3 , 16/06/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 4 , 14/09/2008 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 4 , 16/02/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 5 , 14/09/2008 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 5 , 16/02/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 6 , 14/09/2008 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 6 , 24/04/2009 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 7 , 24/04/2009 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 7 , 01/04/2011 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 7 , 16/02/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 7 , 16/06/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 7 , 10/01/2018 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 7 , 21/01/2018 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 7 , 31/01/2018 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 7 , 29/05/2018 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 8 , 01/01/2013 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 8 , 16/02/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 9 , 01/09/2013 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 9 , 16/02/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 10 , 26/09/2013 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 11 , 01/01/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 11 , 01/03/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 12 , 01/01/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
2, 1 , RIL , C , 12 , 01/03/2017 00:00:00, 	(10-MAR-2025 11:28:19)	 (Not Inserted)
